Ticket_ID,Customer_ID,Issue_Type,Created_Date,Resolved_Date,Agent_Name,Status,Resolution_Time,CSAT_Rating,Channel
1001,2102,Payment,2024-01-01,2024-01-02,Neha,Open,3,3,Email
1002,2435,Refund,2024-01-02,2024-01-03,Amit,Open,5,4,Chat
1003,2860,Order,2024-01-03,2024-01-04,John,Closed,10,1,Email
1004,2270,Delivery,2024-01-04,2024-01-05,Amit,Open,7,4,Chat
1005,2106,Delivery,2024-01-05,2024-01-06,John,Closed,2,1,Chat
1006,2071,Order,2024-01-06,2024-01-07,Ravi,Closed,9,4,Chat
1007,2700,Delivery,2024-01-07,2024-01-08,Sarah,Closed,13,1,Email
1008,2020,Delivery,2024-01-08,2024-01-09,Sarah,Closed,8,2,Chat
1009,2614,Order,2024-01-09,2024-01-10,Sarah,Closed,11,5,Email
1010,2121,Payment,2024-01-10,2024-01-11,Amit,Closed,4,3,Email
1011,2466,Order,2024-01-11,2024-01-12,Ravi,Open,2,4,Email
1012,2214,Payment,2024-01-12,2024-01-13,John,Closed,6,5,Chat
1013,2330,Delivery,2024-01-13,2024-01-14,Neha,Closed,14,3,Chat
1014,2458,Delivery,2024-01-14,2024-01-15,John,Closed,5,3,Chat
1015,2087,Delivery,2024-01-15,2024-01-16,Neha,Closed,11,1,Chat
1016,2372,Refund,2024-01-16,2024-01-17,John,Open,9,2,Email
1017,2099,Payment,2024-01-17,2024-01-18,Ravi,Closed,2,2,Email
1018,2871,Refund,2024-01-18,2024-01-19,Neha,Closed,11,5,Email
1019,2663,Refund,2024-01-19,2024-01-20,Amit,Closed,2,2,Chat
1020,2130,Order,2024-01-20,2024-01-21,John,Closed,13,4,Email
1021,2661,Refund,2024-01-21,2024-01-22,John,Closed,5,2,Chat
1022,2308,Order,2024-01-22,2024-01-23,Neha,Closed,9,5,Email
1023,2769,Order,2024-01-23,2024-01-24,Amit,Closed,6,2,Chat
1024,2343,Refund,2024-01-24,2024-01-25,Amit,Open,3,4,Chat
1025,2491,Payment,2024-01-25,2024-01-26,Ravi,Open,7,1,Email
1026,2413,Payment,2024-01-26,2024-01-27,Amit,Closed,6,5,Email
1027,2805,Payment,2024-01-27,2024-01-28,Amit,Closed,3,1,Email
1028,2385,Payment,2024-01-28,2024-01-29,Amit,Closed,14,1,Email
1029,2191,Payment,2024-01-29,2024-01-30,Sarah,Open,12,1,Chat
1030,2955,Refund,2024-01-30,2024-01-31,Ravi,Closed,12,3,Email
1031,2276,Refund,2024-01-31,2024-02-01,John,Closed,12,3,Email
1032,2160,Delivery,2024-02-01,2024-02-02,Neha,Open,4,1,Email
1033,2459,Payment,2024-02-02,2024-02-03,John,Closed,10,5,Chat
1034,2313,Refund,2024-02-03,2024-02-04,Ravi,Closed,8,4,Chat
1035,2021,Delivery,2024-02-04,2024-02-05,Neha,Closed,8,4,Email
1036,2252,Payment,2024-02-05,2024-02-06,Ravi,Closed,12,2,Chat
1037,2747,Order,2024-02-06,2024-02-07,Amit,Open,7,5,Email
1038,2856,Delivery,2024-02-07,2024-02-08,Neha,Open,9,3,Chat
1039,2560,Refund,2024-02-08,2024-02-09,Amit,Open,5,1,Chat
1040,2474,Order,2024-02-09,2024-02-10,John,Closed,9,2,Chat
1041,2058,Order,2024-02-10,2024-02-11,John,Closed,5,4,Chat
1042,2510,Order,2024-02-11,2024-02-12,Neha,Closed,9,3,Email
1043,2681,Delivery,2024-02-12,2024-02-13,Neha,Closed,10,3,Email
1044,2475,Refund,2024-02-13,2024-02-14,Ravi,Closed,4,1,Email
1045,2699,Order,2024-02-14,2024-02-15,Ravi,Closed,4,4,Chat
1046,2975,Payment,2024-02-15,2024-02-16,Amit,Closed,12,5,Email
1047,2782,Order,2024-02-16,2024-02-17,Neha,Open,14,3,Email
1048,2189,Order,2024-02-17,2024-02-18,John,Open,3,1,Email
1049,2957,Delivery,2024-02-18,2024-02-19,Ravi,Closed,14,5,Chat
1050,2686,Delivery,2024-02-19,2024-02-20,Ravi,Closed,11,4,Chat
1051,2957,Refund,2024-02-20,2024-02-21,John,Open,4,3,Chat
1052,2562,Payment,2024-02-21,2024-02-22,Ravi,Closed,4,5,Email
1053,2875,Delivery,2024-02-22,2024-02-23,Amit,Closed,6,5,Email
1054,2566,Order,2024-02-23,2024-02-24,Neha,Open,6,5,Email
1055,2243,Refund,2024-02-24,2024-02-25,John,Closed,3,3,Chat
1056,2831,Order,2024-02-25,2024-02-26,Neha,Closed,13,3,Chat
1057,2504,Order,2024-02-26,2024-02-27,Ravi,Closed,11,2,Email
1058,2130,Delivery,2024-02-27,2024-02-28,Ravi,Open,14,4,Chat
1059,2484,Refund,2024-02-28,2024-02-29,John,Closed,7,1,Chat
1060,2818,Payment,2024-02-29,2024-03-01,Amit,Closed,6,5,Chat
1061,2646,Payment,2024-03-01,2024-03-02,Sarah,Closed,7,2,Chat
1062,2020,Delivery,2024-03-02,2024-03-03,John,Closed,2,1,Email
1063,2840,Delivery,2024-03-03,2024-03-04,Sarah,Closed,6,2,Chat
1064,2166,Refund,2024-03-04,2024-03-05,Sarah,Closed,10,3,Chat
1065,2273,Payment,2024-03-05,2024-03-06,Amit,Closed,13,5,Chat
1066,2387,Payment,2024-03-06,2024-03-07,Sarah,Closed,11,1,Chat
1067,2600,Payment,2024-03-07,2024-03-08,Sarah,Closed,3,1,Email
1068,2315,Order,2024-03-08,2024-03-09,Amit,Open,2,1,Email
1069,2013,Payment,2024-03-09,2024-03-10,Sarah,Closed,11,1,Chat
1070,2241,Order,2024-03-10,2024-03-11,Sarah,Closed,14,1,Chat
1071,2776,Refund,2024-03-11,2024-03-12,Sarah,Open,12,2,Chat
1072,2345,Order,2024-03-12,2024-03-13,John,Closed,10,5,Chat
1073,2564,Refund,2024-03-13,2024-03-14,John,Open,11,3,Chat
1074,2897,Payment,2024-03-14,2024-03-15,John,Closed,10,3,Chat
1075,2339,Payment,2024-03-15,2024-03-16,Amit,Closed,10,3,Email
1076,2091,Refund,2024-03-16,2024-03-17,Ravi,Closed,7,3,Chat
1077,2366,Delivery,2024-03-17,2024-03-18,Sarah,Open,9,2,Email
1078,2955,Refund,2024-03-18,2024-03-19,Sarah,Closed,12,4,Email
1079,2454,Delivery,2024-03-19,2024-03-20,Amit,Closed,14,5,Chat
1080,2427,Order,2024-03-20,2024-03-21,Sarah,Closed,2,1,Email
1081,2508,Order,2024-03-21,2024-03-22,John,Closed,11,4,Email
1082,2775,Order,2024-03-22,2024-03-23,Ravi,Closed,5,3,Email
1083,2942,Payment,2024-03-23,2024-03-24,Neha,Closed,2,4,Email
1084,2034,Order,2024-03-24,2024-03-25,Sarah,Closed,9,5,Email
1085,2205,Delivery,2024-03-25,2024-03-26,John,Open,2,1,Email
1086,2080,Order,2024-03-26,2024-03-27,Neha,Closed,4,1,Chat
1087,2931,Refund,2024-03-27,2024-03-28,Ravi,Closed,14,5,Email
1088,2561,Refund,2024-03-28,2024-03-29,Neha,Open,5,5,Email
1089,2871,Payment,2024-03-29,2024-03-30,John,Closed,9,3,Email
1090,2387,Refund,2024-03-30,2024-03-31,Neha,Closed,7,1,Chat
1091,2001,Delivery,2024-03-31,2024-04-01,Amit,Closed,11,4,Email
1092,2389,Order,2024-04-01,2024-04-02,Neha,Closed,13,2,Chat
1093,2565,Payment,2024-04-02,2024-04-03,Sarah,Closed,8,2,Email
1094,2105,Order,2024-04-03,2024-04-04,Sarah,Closed,9,5,Chat
1095,2771,Order,2024-04-04,2024-04-05,Amit,Closed,3,3,Chat
1096,2821,Delivery,2024-04-05,2024-04-06,John,Open,14,2,Email
1097,2476,Refund,2024-04-06,2024-04-07,Sarah,Closed,11,1,Email
1098,2702,Refund,2024-04-07,2024-04-08,Ravi,Closed,12,5,Chat
1099,2401,Order,2024-04-08,2024-04-09,Sarah,Open,9,4,Email
1100,2729,Payment,2024-04-09,2024-04-10,Sarah,Closed,4,5,Chat
1101,2555,Refund,2024-04-10,2024-04-11,John,Closed,8,4,Chat
1102,2161,Payment,2024-04-11,2024-04-12,Neha,Closed,4,5,Chat
1103,2201,Refund,2024-04-12,2024-04-13,Sarah,Closed,8,5,Chat
1104,2957,Payment,2024-04-13,2024-04-14,Amit,Closed,12,5,Chat
1105,2995,Delivery,2024-04-14,2024-04-15,Neha,Closed,13,4,Email
1106,2269,Payment,2024-04-15,2024-04-16,Ravi,Open,14,4,Chat
1107,2862,Delivery,2024-04-16,2024-04-17,John,Closed,3,5,Chat
1108,2815,Delivery,2024-04-17,2024-04-18,Ravi,Closed,11,2,Email
1109,2270,Payment,2024-04-18,2024-04-19,Neha,Open,7,3,Chat
1110,2455,Delivery,2024-04-19,2024-04-20,Neha,Closed,4,3,Email
1111,2461,Order,2024-04-20,2024-04-21,Neha,Open,4,3,Email
1112,2726,Delivery,2024-04-21,2024-04-22,Ravi,Open,10,4,Email
1113,2251,Refund,2024-04-22,2024-04-23,Neha,Open,8,4,Chat
1114,2701,Payment,2024-04-23,2024-04-24,Ravi,Open,6,2,Chat
1115,2295,Order,2024-04-24,2024-04-25,Neha,Closed,13,3,Chat
1116,2724,Payment,2024-04-25,2024-04-26,Amit,Closed,11,3,Email
1117,2719,Refund,2024-04-26,2024-04-27,Neha,Closed,8,5,Chat
1118,2748,Refund,2024-04-27,2024-04-28,Ravi,Closed,10,4,Email
1119,2337,Refund,2024-04-28,2024-04-29,Sarah,Closed,2,3,Chat
1120,2878,Delivery,2024-04-29,2024-04-30,Neha,Closed,8,2,Email
1121,2052,Delivery,2024-04-30,2024-05-01,Sarah,Open,7,2,Chat
1122,2791,Payment,2024-05-01,2024-05-02,Amit,Closed,11,3,Chat
1123,2921,Payment,2024-05-02,2024-05-03,John,Open,13,4,Chat
1124,2216,Order,2024-05-03,2024-05-04,Amit,Closed,10,2,Email
1125,2763,Order,2024-05-04,2024-05-05,Neha,Open,2,5,Email
1126,2187,Payment,2024-05-05,2024-05-06,Sarah,Closed,14,2,Chat
1127,2379,Delivery,2024-05-06,2024-05-07,Sarah,Closed,5,1,Chat
1128,2492,Refund,2024-05-07,2024-05-08,Ravi,Open,10,1,Email
1129,2040,Payment,2024-05-08,2024-05-09,Sarah,Open,5,4,Email
1130,2156,Order,2024-05-09,2024-05-10,Ravi,Closed,11,3,Email
1131,2014,Delivery,2024-05-10,2024-05-11,John,Open,4,4,Chat
1132,2812,Payment,2024-05-11,2024-05-12,Neha,Closed,10,4,Email
1133,2064,Payment,2024-05-12,2024-05-13,Ravi,Open,14,4,Chat
1134,2856,Delivery,2024-05-13,2024-05-14,John,Open,3,4,Email
1135,2838,Payment,2024-05-14,2024-05-15,Sarah,Closed,5,5,Chat
1136,2520,Delivery,2024-05-15,2024-05-16,Sarah,Closed,7,5,Email
1137,2343,Refund,2024-05-16,2024-05-17,John,Open,3,2,Email
1138,2128,Delivery,2024-05-17,2024-05-18,Sarah,Open,9,1,Email
1139,2647,Delivery,2024-05-18,2024-05-19,John,Open,9,4,Email
1140,2471,Delivery,2024-05-19,2024-05-20,Ravi,Closed,2,2,Email
1141,2062,Payment,2024-05-20,2024-05-21,Ravi,Closed,13,1,Chat
1142,2138,Payment,2024-05-21,2024-05-22,John,Closed,4,3,Email
1143,2498,Delivery,2024-05-22,2024-05-23,Ravi,Closed,11,5,Email
1144,2592,Payment,2024-05-23,2024-05-24,Ravi,Open,10,1,Email
1145,2391,Order,2024-05-24,2024-05-25,Ravi,Closed,6,3,Chat
1146,2674,Order,2024-05-25,2024-05-26,Amit,Closed,7,1,Email
1147,2418,Payment,2024-05-26,2024-05-27,Neha,Open,5,5,Chat
1148,2288,Payment,2024-05-27,2024-05-28,Sarah,Closed,11,5,Email
1149,2378,Delivery,2024-05-28,2024-05-29,Amit,Closed,3,2,Email
1150,2772,Refund,2024-05-29,2024-05-30,Ravi,Closed,12,4,Chat
1151,2489,Payment,2024-05-30,2024-05-31,John,Closed,9,1,Email
1152,2230,Order,2024-05-31,2024-06-01,Ravi,Closed,12,1,Chat
1153,2040,Delivery,2024-06-01,2024-06-02,Neha,Closed,14,3,Chat
1154,2027,Payment,2024-06-02,2024-06-03,Ravi,Closed,7,5,Email
1155,2134,Order,2024-06-03,2024-06-04,John,Closed,6,1,Chat
1156,2200,Order,2024-06-04,2024-06-05,Neha,Closed,10,5,Email
1157,2839,Refund,2024-06-05,2024-06-06,Ravi,Open,2,1,Email
1158,2779,Delivery,2024-06-06,2024-06-07,Neha,Open,6,2,Chat
1159,2929,Delivery,2024-06-07,2024-06-08,Sarah,Open,7,4,Chat
1160,2032,Refund,2024-06-08,2024-06-09,Sarah,Open,6,1,Chat
1161,2047,Refund,2024-06-09,2024-06-10,Ravi,Open,7,5,Chat
1162,2502,Delivery,2024-06-10,2024-06-11,Neha,Closed,7,2,Email
1163,2406,Delivery,2024-06-11,2024-06-12,John,Closed,8,1,Email
1164,2573,Payment,2024-06-12,2024-06-13,Ravi,Closed,5,3,Chat
1165,2727,Payment,2024-06-13,2024-06-14,Sarah,Closed,12,4,Email
1166,2804,Refund,2024-06-14,2024-06-15,Sarah,Closed,9,1,Email
1167,2098,Payment,2024-06-15,2024-06-16,Ravi,Closed,8,2,Email
1168,2683,Order,2024-06-16,2024-06-17,Neha,Closed,10,3,Email
1169,2871,Payment,2024-06-17,2024-06-18,Sarah,Closed,8,2,Chat
1170,2725,Payment,2024-06-18,2024-06-19,Neha,Open,4,2,Chat
1171,2986,Order,2024-06-19,2024-06-20,Sarah,Open,4,3,Email
1172,2546,Refund,2024-06-20,2024-06-21,Sarah,Open,9,2,Chat
1173,2960,Order,2024-06-21,2024-06-22,Amit,Open,6,3,Chat
1174,2738,Payment,2024-06-22,2024-06-23,Sarah,Open,5,1,Chat
1175,2612,Refund,2024-06-23,2024-06-24,John,Closed,9,3,Email
1176,2942,Payment,2024-06-24,2024-06-25,Ravi,Closed,7,3,Email
1177,2461,Order,2024-06-25,2024-06-26,Ravi,Open,3,4,Email
1178,2642,Order,2024-06-26,2024-06-27,Neha,Open,5,3,Chat
1179,2768,Payment,2024-06-27,2024-06-28,Sarah,Open,13,3,Email
1180,2004,Delivery,2024-06-28,2024-06-29,John,Closed,12,1,Email
1181,2217,Delivery,2024-06-29,2024-06-30,Neha,Closed,5,4,Chat
1182,2502,Order,2024-06-30,2024-07-01,Amit,Closed,7,5,Email
1183,2766,Order,2024-07-01,2024-07-02,Neha,Closed,7,1,Email
1184,2397,Delivery,2024-07-02,2024-07-03,Neha,Closed,2,1,Chat
1185,2870,Delivery,2024-07-03,2024-07-04,Sarah,Closed,9,5,Chat
1186,2794,Payment,2024-07-04,2024-07-05,Amit,Open,7,3,Chat
1187,2392,Payment,2024-07-05,2024-07-06,Neha,Closed,4,2,Email
1188,2206,Delivery,2024-07-06,2024-07-07,John,Closed,10,4,Email
1189,2014,Payment,2024-07-07,2024-07-08,John,Closed,3,2,Email
1190,2857,Payment,2024-07-08,2024-07-09,Ravi,Closed,12,5,Chat
1191,2553,Refund,2024-07-09,2024-07-10,Amit,Closed,9,1,Chat
1192,2891,Payment,2024-07-10,2024-07-11,Amit,Closed,11,1,Email
1193,2460,Order,2024-07-11,2024-07-12,Ravi,Closed,4,4,Email
1194,2690,Payment,2024-07-12,2024-07-13,Neha,Closed,14,1,Chat
1195,2574,Payment,2024-07-13,2024-07-14,Amit,Closed,13,1,Chat
1196,2863,Delivery,2024-07-14,2024-07-15,John,Closed,6,4,Chat
1197,2742,Order,2024-07-15,2024-07-16,John,Closed,7,4,Chat
1198,2240,Payment,2024-07-16,2024-07-17,Sarah,Closed,11,5,Email
1199,2563,Payment,2024-07-17,2024-07-18,Amit,Closed,7,1,Chat
1200,2095,Refund,2024-07-18,2024-07-19,Neha,Open,5,1,Email
